City,BHK,Sqft,Bathrooms,Floor,Total_Floors,Distance_to_Center,Has_Swimming_Pool,Has_Gym,Is_Gated_Community,Per_Capita_Income_Lakh,Price_INR
Hyderabad,4,3194,4,2,8,11.94,0,0,0,5.54,26460000.0
Chennai,3,1588,2,1,1,13.89,0,1,1,3.5,12318819.0
Bangalore,1,658,0,40,43,26.84,1,1,0,9.8,5143679.0
Ahmedabad,2,1004,1,5,8,12.22,1,1,1,2.8,7256506.0
Delhi NCR,3,1377,3,28,34,28.19,1,1,1,4.75,7540751.0
Bangalore,1,423,0,17,25,17.23,1,1,0,9.8,4859958.0
Hyderabad,1,415,0,15,24,3.44,0,0,0,5.54,5525016.0
Mumbai,5,9597,5,11,17,23.92,1,1,1,4.13,196667798.0
Mumbai,5,5425,4,18,26,7.17,1,1,1,4.13,143549642.0
Pune,2,1174,1,6,9,16.0,0,1,1,2.78,9060220.0
Pune,4,3557,4,7,9,4.16,0,0,1,2.78,31861526.0
Chennai,5,6706,5,5,10,6.56,0,1,1,3.5,59050284.0
Kolkata,1,607,1,9,19,0.68,0,1,1,2.5,5397884.0
Bangalore,4,2763,3,35,36,7.3,1,1,0,9.8,30149516.0
Ahmedabad,1,571,1,15,16,28.68,0,1,1,2.8,2583219.0
Bangalore,4,2287,4,22,32,14.4,1,1,0,9.8,20795604.0
Bangalore,2,1170,2,13,21,20.29,1,1,1,9.8,15169504.0
Kolkata,5,9989,4,1,9,3.86,0,1,0,2.5,116239360.0
Hyderabad,2,1139,2,4,4,27.07,0,0,1,5.54,5983242.0
Hyderabad,5,7711,5,14,17,4.29,0,0,1,5.54,124718655.0
Bangalore,4,3150,3,13,18,13.64,1,1,1,9.8,27233398.0
Bangalore,2,812,2,38,42,6.64,1,1,0,9.8,12109226.0
Chennai,3,1882,3,2,9,1.12,0,0,0,3.5,18697773.0
Jaipur,5,9963,4,14,15,19.51,0,1,1,1.8,60549440.0
Chennai,2,892,2,10,19,10.94,1,1,1,3.5,8007348.0
Jaipur,1,444,1,11,17,25.49,1,1,1,1.8,2000000.0
Pune,2,983,2,10,20,10.46,0,1,0,2.78,9172359.0
Hyderabad,1,610,0,4,14,18.72,0,0,1,5.54,2991428.0
Ahmedabad,2,873,2,11,15,3.49,1,1,1,2.8,6115084.0
Bangalore,3,1558,3,10,20,13.81,1,1,0,9.8,18363837.0
Kolkata,3,1307,2,12,18,11.64,0,1,1,2.5,9120277.0
Lucknow,5,8273,4,15,24,11.2,0,1,1,1.6,59926205.0
Kolkata,1,495,1,9,15,0.32,1,1,0,2.5,4969102.0
Lucknow,4,3372,4,10,20,28.26,0,0,0,1.6,9261979.0
Jaipur,1,406,1,15,22,8.99,1,1,1,1.8,2514623.0
Hyderabad,2,946,1,13,20,13.42,0,1,1,5.54,8307027.0
Ahmedabad,4,2946,4,6,11,22.71,1,1,1,2.8,14161904.0
Mumbai,5,5964,4,16,24,2.23,1,1,1,4.13,349099104.0
Bangalore,4,3920,3,9,17,7.1,1,1,0,9.8,58037500.0
Chennai,3,1992,3,5,15,14.05,1,1,1,3.5,13034694.0
Ahmedabad,5,8092,5,4,9,16.59,1,1,0,2.8,72015013.0
Kolkata,3,1965,3,12,13,16.5,0,0,1,2.5,9903297.0
Bangalore,4,3107,4,1,1,11.07,1,1,0,9.8,39415925.0
Kolkata,5,5860,5,12,21,26.16,0,0,0,2.5,37458948.0
Delhi NCR,5,7629,5,13,20,2.93,1,1,1,4.75,118551164.0
Pune,4,3861,4,15,20,18.96,0,1,0,2.78,34367054.0
Pune,1,527,0,1,10,10.22,0,0,0,2.78,4088970.0
Delhi NCR,3,1932,3,29,33,9.1,1,1,1,4.75,28594567.0
Bangalore,5,6345,4,3,8,16.76,1,1,0,9.8,113394295.0
Pune,5,8914,5,3,4,5.32,1,1,0,2.78,142023622.0
Delhi NCR,1,539,1,22,25,16.04,1,1,1,4.75,4474972.0
Chennai,5,8220,5,10,12,13.79,0,1,1,3.5,78718847.0
Delhi NCR,5,5753,5,7,16,15.46,1,1,1,4.75,56365564.0
Chennai,1,466,1,11,19,24.13,0,0,1,3.5,2515962.0
Pune,5,6314,5,7,15,19.6,0,1,1,2.78,62927266.0
Jaipur,2,898,1,14,24,18.79,0,0,1,1.8,3646773.0
Bangalore,1,512,1,31,41,13.95,1,1,1,9.8,7263428.0
Hyderabad,1,636,1,15,22,6.14,0,1,1,5.54,6324435.0
Jaipur,4,3847,3,5,7,7.94,0,0,0,1.8,21762798.0
Hyderabad,3,1905,2,8,8,16.71,0,0,0,5.54,11873421.0
Jaipur,1,650,1,10,16,5.43,1,1,0,1.8,5132742.0
Chennai,3,1980,2,14,18,3.33,1,1,0,3.5,22385079.0
Ahmedabad,2,926,2,5,7,7.76,1,1,0,2.8,5719698.0
Jaipur,4,3101,4,2,5,4.07,0,1,1,1.8,15923632.0
Jaipur,2,964,2,8,15,1.04,1,1,1,1.8,7286274.0
Jaipur,1,405,0,3,5,13.24,0,0,0,1.8,2000000.0
Chennai,1,450,1,11,16,8.8,1,1,0,3.5,4417798.0
Hyderabad,5,9276,5,7,17,17.72,0,0,1,5.54,111409717.0
Pune,5,7790,5,0,10,25.15,1,1,0,2.78,77133509.0
Ahmedabad,2,930,1,3,5,3.22,0,0,0,2.8,5120902.0
Delhi NCR,3,1749,3,7,7,18.68,1,1,0,4.75,9459026.0
Chennai,1,516,0,9,18,27.29,0,1,0,3.5,2586382.0
Pune,3,1426,3,0,9,0.34,1,1,1,2.78,19669972.0
Mumbai,5,7362,5,1,5,21.72,1,1,1,4.13,195833616.0
Chennai,1,557,0,14,24,29.43,0,1,1,3.5,2515887.0
Chennai,4,3679,3,8,11,20.85,0,0,1,3.5,23018064.0
Delhi NCR,3,1902,3,32,33,26.15,1,1,0,4.75,17789725.0
Pune,4,3674,4,1,7,17.15,0,1,1,2.78,24659330.0
Mumbai,2,1076,2,4,7,19.94,1,1,0,4.13,19755001.0
Chennai,3,1731,2,13,23,21.13,0,0,1,3.5,10158586.0
Bangalore,2,834,1,5,9,27.58,1,1,0,9.8,5187514.0
Hyderabad,5,8302,5,6,16,8.59,0,1,1,5.54,121789805.0
Kolkata,5,5029,5,2,6,8.17,0,1,0,2.5,42753972.0
Jaipur,1,484,1,0,5,6.56,0,1,1,1.8,2834639.0
Chennai,4,2276,3,8,17,0.03,1,1,1,3.5,30261392.0
Hyderabad,4,2831,3,1,6,1.34,0,1,0,5.54,20708083.0
Kolkata,3,1320,3,2,11,4.0,0,0,0,2.5,8091243.0
Bangalore,2,1036,2,12,13,9.81,1,1,0,9.8,13452649.0
Bangalore,1,489,1,24,30,0.51,1,1,1,9.8,8893427.0
Bangalore,3,1866,3,25,27,5.47,1,1,1,9.8,29734765.0
Bangalore,5,8018,5,32,37,17.72,1,1,1,9.8,241384461.0
Jaipur,3,1439,3,8,14,9.87,1,1,0,1.8,8391665.0
Mumbai,2,848,2,33,34,22.46,1,1,1,4.13,22631329.0
Pune,4,3685,3,0,9,25.44,0,0,0,2.78,24251924.0
Lucknow,4,3025,4,14,18,4.44,1,1,1,1.6,19822538.0
Jaipur,1,519,1,7,8,12.9,1,1,0,1.8,2578849.0
Pune,1,561,1,2,10,13.71,0,0,1,2.78,4460471.0
Pune,3,1880,3,15,24,26.87,0,1,1,2.78,10807759.0
Chennai,5,4875,5,6,11,23.92,0,1,1,3.5,32729462.0
Kolkata,1,576,0,5,5,10.4,1,1,0,2.5,4013841.0
Bangalore,1,643,1,23,24,15.89,1,1,1,9.8,7377124.0
Ahmedabad,2,874,2,9,19,19.12,1,1,1,2.8,6039817.0
Pune,4,3565,3,4,14,0.65,0,1,1,2.78,29637116.0
Bangalore,4,3814,4,38,43,23.62,1,1,0,9.8,46963303.0
Jaipur,3,1496,2,14,19,16.59,0,0,0,1.8,4930321.0
Lucknow,4,2777,4,14,18,24.92,1,1,1,1.6,10529716.0
Jaipur,1,570,1,15,20,28.11,0,0,1,1.8,2128698.0
Bangalore,3,1969,2,22,30,5.17,1,1,1,9.8,28651253.0
Delhi NCR,5,8170,5,11,17,6.72,1,1,1,4.75,108520697.0
Ahmedabad,4,3624,4,3,8,9.32,1,1,0,2.8,23039769.0
Jaipur,3,1503,2,10,10,13.66,0,0,0,1.8,6574706.0
Jaipur,5,5319,5,13,22,16.1,0,1,1,1.8,27591483.0
Jaipur,3,1390,3,9,17,15.1,0,0,0,1.8,5617811.0
Kolkata,1,428,1,0,4,20.14,0,1,1,2.5,2311545.0
Lucknow,1,584,1,5,11,28.09,0,1,1,1.6,2000000.0
Delhi NCR,3,1815,3,21,31,1.87,1,1,1,4.75,39816428.0
Delhi NCR,3,1611,3,28,34,3.16,1,1,1,4.75,26526639.0
Delhi NCR,2,1198,1,36,37,4.9,1,1,1,4.75,8306759.0
Jaipur,1,599,1,0,3,8.87,1,1,0,1.8,3313151.0
Jaipur,5,6740,5,14,20,3.06,1,1,1,1.8,60599028.0
Bangalore,1,651,1,20,25,23.46,1,1,1,9.8,7355098.0
Bangalore,2,1064,2,28,33,9.25,1,1,1,9.8,11945290.0
Ahmedabad,3,1552,3,9,19,13.32,1,1,1,2.8,9680152.0
Jaipur,4,2785,4,8,12,27.84,0,1,0,1.8,10030713.0
Chennai,3,1332,2,8,12,28.71,0,0,1,3.5,7505426.0
Hyderabad,3,1517,2,1,9,4.97,1,1,1,5.54,12451624.0
Delhi NCR,3,1734,2,35,40,29.78,1,1,1,4.75,13459273.0
Hyderabad,1,437,1,14,19,14.78,0,0,1,5.54,2924190.0
Lucknow,5,7677,5,5,10,12.17,0,0,1,1.6,41516586.0
Lucknow,4,2857,4,4,5,20.99,0,0,1,1.6,11044384.0
Jaipur,4,3877,3,4,4,17.91,0,1,0,1.8,17612795.0
Delhi NCR,2,940,1,27,32,13.2,1,1,0,4.75,6868752.0
Mumbai,5,6660,4,36,45,20.19,1,1,0,4.13,234462193.0
Lucknow,5,8100,4,3,12,17.37,0,0,1,1.6,51940219.0
Lucknow,1,533,0,9,19,26.99,1,1,0,1.6,2122204.0
Hyderabad,1,499,1,9,19,25.67,1,1,1,5.54,2532673.0
Mumbai,4,3668,4,14,17,2.53,1,1,0,4.13,91473459.0
Hyderabad,2,936,2,11,12,3.8,0,1,0,5.54,11609560.0
Kolkata,4,2847,4,12,12,19.05,1,1,1,2.5,17397981.0
Ahmedabad,3,1455,2,13,13,21.98,0,0,0,2.8,6339214.0
Kolkata,4,2217,4,11,20,16.77,0,0,1,2.5,13203437.0
Ahmedabad,4,2455,3,8,9,19.33,1,1,0,2.8,11914257.0
Chennai,5,6041,5,13,23,15.11,0,1,1,3.5,55930693.0
Jaipur,1,660,1,5,15,10.47,1,1,0,1.8,2392063.0
Hyderabad,1,504,1,1,4,23.09,0,1,0,5.54,2486570.0
Jaipur,1,456,0,2,3,15.7,0,1,0,1.8,2000000.0
Lucknow,3,1341,3,7,10,11.8,1,1,0,1.6,5607240.0
Jaipur,5,7044,5,4,10,18.28,1,1,1,1.8,54202832.0
Hyderabad,1,667,1,1,7,29.42,0,1,1,5.54,2777607.0
Jaipur,2,1133,2,5,10,29.57,0,0,1,1.8,3397372.0
Pune,3,1983,3,12,22,28.47,0,1,0,2.78,12079697.0
Jaipur,3,1460,2,9,12,0.83,0,0,1,1.8,9834803.0
Lucknow,3,1839,3,6,15,2.78,0,0,0,1.6,7485758.0
Mumbai,3,1742,3,4,12,25.24,1,1,0,4.13,37508259.0
Kolkata,5,6773,4,6,8,1.57,0,1,1,2.5,79232727.0
Bangalore,3,1436,2,0,5,24.71,1,1,1,9.8,9908644.0
Bangalore,3,1998,2,23,31,11.62,1,1,1,9.8,26981288.0
Jaipur,4,2881,3,10,18,21.07,1,1,0,1.8,12995559.0
Hyderabad,2,821,1,12,19,29.99,0,0,0,5.54,3829313.0
Hyderabad,4,2521,4,0,0,9.65,1,1,1,5.54,24484390.0
Jaipur,3,1341,2,3,11,5.51,0,1,1,1.8,7102299.0
Ahmedabad,4,2388,4,6,16,12.45,0,0,1,2.8,12361300.0
Delhi NCR,2,1076,1,25,33,0.29,1,1,1,4.75,19094346.0
Mumbai,3,1470,3,0,1,29.19,1,1,0,4.13,31808734.0
Kolkata,1,652,1,11,15,21.06,1,1,0,2.5,3462927.0
Hyderabad,5,6240,4,8,10,14.83,1,1,1,5.54,104761410.0
Hyderabad,3,1740,3,5,7,23.23,0,1,1,5.54,6999549.0
Delhi NCR,1,400,1,27,33,23.36,1,1,1,4.75,3505532.0
Lucknow,2,1001,2,12,12,21.49,1,1,0,1.6,4269318.0
Pune,3,1596,3,6,16,17.67,1,1,1,2.78,13828331.0
Pune,5,4625,5,9,14,1.57,0,0,0,2.78,46215762.0
Kolkata,5,7566,4,2,6,7.16,0,0,1,2.5,70650850.0
Hyderabad,5,7420,5,10,14,13.79,0,0,1,5.54,71458689.0
Lucknow,2,1187,2,1,10,6.32,0,1,1,1.6,5425689.0
Bangalore,5,9671,4,9,10,19.02,1,1,1,9.8,187620699.0
Mumbai,1,678,1,27,27,24.57,1,1,0,4.13,13488063.0
Kolkata,4,3981,4,1,6,23.85,0,1,0,2.5,19663393.0
Delhi NCR,2,1131,2,10,13,3.98,1,1,1,4.75,17739813.0
Bangalore,4,3919,4,1,3,1.44,1,1,0,9.8,62911444.0
Hyderabad,5,8541,5,12,12,5.88,0,1,1,5.54,151924393.0
Delhi NCR,1,647,0,15,15,24.85,1,1,1,4.75,6295498.0
Lucknow,1,681,1,10,16,19.8,0,0,1,1.6,2159901.0
Hyderabad,3,1725,3,13,22,6.92,0,1,1,5.54,14757864.0
Mumbai,2,907,2,13,20,4.76,1,1,1,4.13,29592734.0
Bangalore,3,1938,3,3,13,2.46,1,1,1,9.8,30726035.0
Chennai,4,2595,4,5,13,7.48,1,1,0,3.5,23008208.0
Kolkata,3,1585,3,9,19,16.12,0,0,1,2.5,8894099.0
Hyderabad,3,1892,3,5,8,21.57,1,1,1,5.54,18255083.0
Ahmedabad,1,700,1,14,24,0.73,1,1,1,2.8,5827359.0
Jaipur,3,1493,2,13,22,10.59,0,1,1,1.8,8049152.0
Ahmedabad,5,9801,5,9,13,24.42,0,0,1,2.8,66411192.0
Bangalore,4,3814,4,18,22,20.8,1,1,1,9.8,39587051.0
Chennai,5,5505,5,6,13,5.25,0,0,1,3.5,63684109.0
Kolkata,3,1997,2,6,9,18.7,0,1,1,2.5,12304030.0
Lucknow,2,957,2,5,5,15.59,0,0,1,1.6,3794075.0
Delhi NCR,4,3993,4,40,47,19.49,1,1,1,4.75,60182466.0
Jaipur,4,2480,4,8,11,3.54,0,0,0,1.8,12850596.0
Pune,1,636,1,14,23,15.01,0,0,1,2.78,5159280.0
Chennai,4,2798,3,11,20,15.49,0,1,1,3.5,18782927.0
Bangalore,2,954,2,12,21,5.29,1,1,0,9.8,13359263.0
Delhi NCR,4,3123,3,1,6,3.82,1,1,1,4.75,37647351.0
Mumbai,2,883,2,2,4,20.33,1,1,1,4.13,16304778.0
Chennai,4,2629,3,9,18,9.89,0,0,1,3.5,20596325.0
Pune,4,2431,4,0,5,12.11,0,1,0,2.78,16345927.0
Pune,5,6155,5,6,12,16.72,0,0,0,2.78,69328496.0
Chennai,5,4779,5,7,17,21.97,1,1,1,3.5,32947260.0
Pune,3,1611,3,7,12,18.26,0,1,1,2.78,9625394.0
Lucknow,2,898,1,15,25,8.18,0,0,0,1.6,4324169.0
Ahmedabad,1,444,0,3,11,28.49,1,1,0,2.8,2130546.0
Delhi NCR,3,1355,2,37,45,24.8,1,1,1,4.75,14527823.0
Delhi NCR,1,598,1,9,17,6.58,1,1,0,4.75,7925447.0
Chennai,3,1924,3,9,9,9.44,0,1,1,3.5,15288274.0
Chennai,4,2875,3,13,13,5.37,1,1,0,3.5,24248623.0
Lucknow,5,4514,5,0,7,12.19,0,1,0,1.6,21088729.0
Bangalore,3,1987,3,28,31,11.32,1,1,0,9.8,21014013.0
Pune,2,1191,2,12,13,22.57,1,1,1,2.78,10657211.0
Jaipur,3,1663,2,6,16,22.46,0,0,0,1.8,5546141.0
Ahmedabad,1,564,1,3,11,15.53,0,1,0,2.8,2561885.0
Kolkata,5,7375,4,15,19,14.91,1,1,1,2.5,74302852.0
Chennai,4,2910,4,7,7,4.31,0,1,1,3.5,27685008.0
Ahmedabad,3,1553,3,1,7,15.4,0,1,0,2.8,7202298.0
Hyderabad,2,874,2,7,9,10.74,0,0,1,5.54,5702039.0
Pune,5,8255,5,7,14,23.79,1,1,1,2.78,97357026.0
Chennai,1,607,1,4,7,22.24,0,1,0,3.5,3599551.0
Pune,1,453,1,7,16,11.66,0,1,1,2.78,3506528.0
Hyderabad,5,9800,4,6,8,22.12,0,0,0,5.54,87721708.0
Mumbai,3,1881,2,39,45,24.83,1,1,0,4.13,37894379.0
Kolkata,5,9805,4,5,10,3.13,0,1,0,2.5,108923810.0
Kolkata,4,2774,4,8,11,25.15,0,0,1,2.5,11125591.0
Kolkata,1,415,1,13,20,0.23,1,1,0,2.5,3819181.0
Kolkata,2,1081,2,15,18,13.03,1,1,1,2.5,7972120.0
Delhi NCR,2,1122,1,17,22,18.1,1,1,0,4.75,11160309.0
Mumbai,4,2428,4,36,39,21.5,1,1,1,4.13,71859327.0
Kolkata,4,2610,3,14,15,25.1,0,1,1,2.5,14917896.0
Ahmedabad,3,1342,3,0,1,20.71,1,1,1,2.8,6882851.0
Hyderabad,3,1655,3,8,9,9.31,1,1,0,5.54,15914662.0
Mumbai,1,539,0,13,21,24.76,1,1,0,4.13,6333489.0
Lucknow,1,692,1,14,14,1.87,1,1,1,1.6,4548400.0
Kolkata,4,3641,3,1,3,4.95,1,1,1,2.5,32101552.0
Lucknow,2,973,2,13,20,20.41,0,1,1,1.6,3815126.0
Pune,4,3679,4,7,15,4.07,1,1,0,2.78,37695373.0
Delhi NCR,1,562,1,23,24,5.8,1,1,0,4.75,7915471.0
Jaipur,5,9146,4,9,19,28.81,0,1,1,1.8,60382600.0
Kolkata,2,1109,2,5,5,23.57,0,1,0,2.5,5433576.0
Kolkata,4,2880,3,11,21,22.0,0,1,1,2.5,16419619.0
Pune,2,1065,1,6,10,0.62,0,1,1,2.78,12983277.0
Delhi NCR,3,1545,3,0,7,23.77,1,1,1,4.75,11076338.0
Chennai,1,487,0,6,7,1.2,1,1,1,3.5,5530502.0
Delhi NCR,4,2968,4,14,15,12.01,1,1,0,4.75,30738610.0
Ahmedabad,4,3435,4,8,11,12.96,0,0,1,2.8,18497442.0
Delhi NCR,4,2285,3,18,22,22.35,1,1,1,4.75,16418076.0
Chennai,5,6403,4,12,12,5.91,0,0,1,3.5,69215280.0
Mumbai,4,2794,4,32,40,9.16,1,1,0,4.13,80352372.0
Mumbai,5,5015,5,39,39,0.44,1,1,1,4.13,291767449.0
Mumbai,3,1662,2,2,9,8.91,1,1,1,4.13,48787666.0
